股票代码,股票简称,现价(元),涨跌幅(%),QFII持股比例(%)2018.09.30,QFII持股数量(股)2018.09.30,QFII持股市值(元)2018.09.30,QFII持股家数(家)2018.09.30,QFII持股选股明细
600903.SH,贵州燃气,25.16,-2.48,0.64,776894.00,18062785.50,3.,--
600139.SH,西部资源,3.77,0.00,0.63,4171651.00,17604367.22,1.,--
603729.SH,龙韵股份,17.75,1.03,0.62,575980.00,9883816.80,1.,--
000898.SZ,鞍钢股份,5.89,-0.51,0.60,36907773.00,226613726.22,2.,--
002152.SZ,广电运通,6.17,0.65,0.60,11804355.00,75665915.55,1.,--
000789.SZ,万年青,12.50,-1.96,0.60,3658697.00,43575081.27,1.,--
002050.SZ,三花智控,13.05,2.84,0.56,10461485.00,139346980.20,1.,--
601633.SH,长城汽车,6.38,-0.31,0.55,33016998.00,259843774.26,2.,--
002513.SZ,蓝丰生化,7.62,2.28,0.54,1380851.00,8547467.69,1.,--
600997.SH,开滦股份,6.30,-0.79,0.52,6370949.00,37015213.69,1.,--
600377.SH,宁沪高速,9.58,0.11,0.51,19507749.00,177130360.92,2.,--
601336.SH,新华保险,46.76,-0.41,0.51,10601266.00,535151907.68,1.,--
603569.SH,长久物流,13.40,10.02,0.50,402980.00,5758584.20,1.,--
002060.SZ,粤水电,2.97,0.68,0.50,6032274.00,17915853.78,1.,--
002294.SZ,信立泰,25.84,-0.19,0.49,5099894.00,144123004.44,1.,--
000582.SZ,北部湾港,8.26,0.73,0.48,1268265.00,10247581.20,1.,--
600754.SH,锦江股份,24.82,0.00,0.47,3070693.00,81066295.20,1.,--
601020.SH,华钰矿业,9.65,1.37,0.47,1341356.00,13601349.84,1.,--
600373.SH,中文传媒,12.40,-0.96,0.46,6331830.00,69080265.30,1.,--
000402.SZ,金融街,7.33,1.81,0.45,13518927.00,95173246.08,1.,--
002911.SZ,佛燃股份,19.34,-1.38,0.43,242100.00,5132520.00,1.,--
000589.SZ,黔轮胎A,3.74,0.81,0.43,3345876.00,11710566.00,1.,--
300329.SZ,海伦钢琴,7.95,0.13,0.43,1081500.00,9398235.00,1.,--
600933.SH,爱柯迪,8.60,0.59,0.43,589177.00,5332051.85,1.,--
600188.SH,兖州煤业,10.39,-0.38,0.42,12557946.00,144667537.92,1.,--
603421.SH,鼎信通讯,16.46,-0.42,0.42,193003.00,3317721.57,1.,--
000931.SZ,中关村,8.62,9.95,0.42,2953440.00,17897846.40,1.,--
000617.SZ,中油资本,12.14,4.21,0.41,1180001.00,13157011.15,1.,--
000498.SZ,山东路桥,5.31,-1.67,0.40,1782000.00,9230760.00,1.,--
000698.SZ,沈阳化工,4.22,0.96,0.40,1716100.00,7207620.00,1.,--
600665.SH,天地源,3.88,2.38,0.40,3429500.00,12346200.00,1.,--
601949.SH,中国出版,4.70,2.17,0.40,1587700.00,6922372.00,1.,--
002930.SZ,宏川智慧,29.40,-1.94,0.39,238900.00,7403511.00,1.,--
002837.SZ,英维克,15.32,9.98,0.39,266879.00,4008522.58,1.,--
603555.SH,贵人鸟,7.80,0.13,0.39,2443314.00,17054331.72,1.,--
000858.SZ,五粮液,50.69,0.20,0.38,14521657.00,986746593.15,1.,--
603500.SH,祥和实业,11.52,-1.12,0.38,190200.00,2027532.00,1.,--
000949.SZ,新乡化纤,2.90,0.69,0.37,4549049.00,13283223.08,1.,--
300014.SZ,亿纬锂能,13.43,1.51,0.37,3046000.00,43253200.00,1.,--
000753.SZ,漳州发展,3.31,2.16,0.37,3250833.00,9589957.35,1.,--
600308.SH,华泰股份,4.90,1.87,0.36,4169384.00,19721186.32,1.,--
600496.SH,精工钢构,2.93,0.00,0.36,5383955.00,16151865.00,1.,--
000557.SZ,西部创业,3.96,1.80,0.35,2071451.00,8575807.14,1.,--
600159.SH,大龙地产,2.73,0.74,0.35,2920409.00,7593063.40,1.,--
000637.SZ,茂化实华,4.46,-0.45,0.35,1284209.00,5149678.09,1.,--
603032.SH,德新交运,33.79,0.78,0.35,274520.00,6206897.20,1.,--
600025.SH,华能水电,3.10,-0.32,0.34,6184700.00,17440854.00,1.,--
601838.SH,成都银行,8.82,0.80,0.33,1207899.00,11148907.77,1.,--
601108.SH,财通证券,8.77,6.05,0.33,1200121.00,10885097.47,1.,--
603528.SH,多伦科技,6.51,0.31,0.31,587777.00,3844061.58,1.,--
002186.SZ,全聚德,12.57,1.21,0.31,952758.00,12719319.30,1.,--
601163.SH,三角轮胎,12.15,1.67,0.31,871200.00,10985832.00,1.,--
600505.SH,西昌电力,5.47,5.40,0.31,1129428.00,5342194.44,1.,--
601019.SH,山东出版,8.03,-1.35,0.30,787600.00,6056644.00,1.,--
000988.SZ,华工科技,12.96,1.89,0.29,2603000.00,38264100.00,1.,--
000923.SZ,河北宣工,13.82,3.60,0.29,568600.00,7636298.00,1.,--
600368.SH,五洲交通,3.48,0.29,0.28,3146047.00,10728020.27,1.,--
000719.SZ,中原传媒,7.90,-0.13,0.28,1857208.00,13854771.68,1.,--
600248.SH,延长化建,4.52,0.00,0.27,1639667.00,7722831.57,1.,--
002926.SZ,华西证券,9.69,4.64,0.26,1351200.00,12052704.00,1.,--
600901.SH,江苏租赁,6.52,1.56,0.26,1645706.00,11075608.11,1.,--
600078.SH,澄星股份,3.55,0.85,0.25,1678333.00,5773465.52,1.,--
600792.SH,云煤能源,3.13,-0.95,0.24,2410493.00,8195676.20,1.,--
002782.SZ,可立克,14.21,4.03,0.24,257800.00,3188986.00,1.,--
002392.SZ,北京利尔,3.52,-0.28,0.23,1731571.00,6025867.08,1.,--
002017.SZ,东信和平,6.12,3.03,0.22,767109.00,4533614.19,1.,--
600133.SH,东湖高新,7.33,3.09,0.22,1182050.00,6453993.00,1.,--
002636.SZ,金安国纪,8.00,2.04,0.22,538100.00,4288657.00,1.,--
600269.SH,赣粤高速,4.20,1.45,0.22,5024702.00,20752019.26,1.,--
600333.SH,长春燃气,6.70,-2.76,0.21,1091800.00,6998438.00,1.,--
000652.SZ,泰达股份,3.38,2.42,0.20,2999443.00,8998329.00,1.,--
601611.SH,中国核建,7.54,0.67,0.20,1920882.00,14886835.50,1.,--
002573.SZ,清新环境,8.95,1.82,0.20,2122200.00,24299190.00,1.,--
601999.SH,出版传媒,5.72,4.76,0.19,1073800.00,5637450.00,1.,--
002362.SZ,汉王科技,15.25,-0.78,0.19,333500.00,5506085.00,1.,--
002651.SZ,利君股份,4.66,-0.64,0.17,718961.00,3300030.99,1.,--
600488.SH,天药股份,4.00,1.78,0.16,1597548.00,6166535.28,1.,--
601968.SH,宝钢包装,4.21,0.24,0.15,1258200.00,4906980.00,1.,--
600207.SH,安彩高科,5.58,2.76,0.15,1024750.00,5697610.00,1.,--
600396.SH,金山股份,2.20,0.46,0.14,1680158.00,3662744.44,1.,--
601106.SH,中国一重,2.84,0.00,0.14,8961700.00,25899313.00,1.,--
000935.SZ,四川双马,18.12,10.02,0.13,997574.00,15282849.00,1.,--
600020.SH,中原高速,4.40,9.45,0.13,2936800.00,10572480.00,1.,--
601069.SH,西部黄金,16.20,0.37,0.13,831100.00,12823873.00,1.,--
601008.SH,连云港,3.33,0.91,0.12,1211925.00,4011471.75,1.,--
601107.SH,四川成渝,3.47,1.17,0.10,2261000.00,7868280.00,1.,--
601958.SH,金钼股份,6.35,0.00,0.08,2721000.00,17196720.00,1.,--
002498.SZ,汉缆股份,2.22,-0.45,0.08,2629604.00,5890312.96,1.,--
601998.SH,中信银行,5.76,0.35,0.08,24917774.00,151001710.44,1.,--
601088.SH,中国神华,19.71,-0.35,0.06,10144552.00,206847415.28,1.,--
